,text,username
66,"Pemprov DKI Digugat karena Banjir, Senator Jakarta: Saya Ketawa Bacanya https://www.kontenislam.com/2020/01/pemprov-dki-digugat-karena-banjir.html …",Joko Hariyanto
67,"Gubernur seblm dia jelas2 ingin mengatasi banjir dan sukses mengurangi banjir Jakarta. Cuma dia ga teruskan usahanya dgn alasan macem2, dan teori aneh2 ttg sunnatullah segala.

Wajar kalo warga menagih tanggung jawab thd kelalaian ini.",Daemoen
68,"Yang banyak resah tu paling yang pake topi santa cloussss
Tuntut ja presiden.dulu dh janji klw jd presiden banjir Jakarta mudah di urus",You Never Walk Alone
69,"Klo saya lebih berminat klo bu Risma jadi gubernur di Jakarta,,
Walaupun seorang perempuan dia mengubah mengurangi daerah2 banjir di Suroboyo, Suroboyo tmpt paling nyaman & sejuk",Markuz_pipapu
70,"Permukaan Air Laut di Jakarta Meninggi, Waspada Terjangan Banjir Rob https://penamini.my.id/permukaan-air-laut-di-jakarta-meninggi-waspada-terjangan-banjir-rob.html …pic.twitter.com/IJsWTvm3kG",IdPena Mini
71,"Bilang Ada Laporan Warga, Polisi Usut Banjir Jakarta http://dlvr.it/RMcnDh ",I'm Lit!
72,Wah keren emang Indonesia baru kali ini banir di Jakarta itu di usut polisi padahal setiap tahun siapapun gubnya banjir bahkan Bru gub ini banjirnya gak parah sampai JKT pusat .,Akhmad
73,"Lbh jakarta kiq terkesan malah membela pemprov dki bkn membela korban banjir. Baru kali ini ada NGO yg bela2in pemerintah walau itu hanya pemerintah provinsi, asa apa dg LBH jakarta ???",Pancasila Sakti
74,Mengatasi banjir di Jakarta lebih mudah kalau jadi presiden...nah intinya kalau g mampu mundur jadi presiden...gitu aja kok repot,Dedy Hendra Kesuma
75,"Anda sudah malu sekarang??? Kalu anda TDK malu saya rasa anda layak dipermalukan.   Makanya jadi pemimpin agama aja jgn sok tau kalu bcr .. and @aagym skrg Jakarta banjir,kok diem??? Ustad cuma manusia biasa,jangan spt memiliki tiket ke surga lewat tol..",Conde Binyo
76,"Perintah Presiden kan bisa. Toh pak Jokowi paham banget Jakarta. Ketika menjadi Presiden kewenangan mutlak, sudah masuk periode II lho janji mudah mengatasi banjir kalau jadi presiden.",Bohong WAJIB!
77,Jakarta masalah banjir rutin ini ga perlu ada bantuan...kecil... Apdb gede... Dah biasa... Jabotabek bencana kemren jakarta yg nanggung....juga kecil ..apa lagi gubernurnya anis....selesai dah masalah bginian mah.....bravo pak anis....lelahmu berkah mu...,"#FAKTA,,,,,,,,,💙"
78,"Cebong taiker....mana komentnya, banjir di luar jakarta lebih parah, mana kabar jiwasraya? Mana kabar natuna? Mana kabar si homo pemerkosa? Banggakah di barisan pengkhianat bangsa?",The Circle
79,"Thread by @pemudajawa: [ANALISIS LEBIH MENDALAM BANJIR JAKARTA] Utas ini dibuat untuk menjabarkan analisis secara lebih mendalam terkait banja. Mungkin akan agak panjang seperti twitnya digembok e-nya 3. Semoga bisa diliat sama Pak @aniesbaswedan , Pak @…https://threadreaderapp.com/thread/1213026494072729600.html …",blankspace
80,"Boss yg banjir ga cuma jakarta doang diawal tahun ini, daerah lain juga banjir, malah lebih parah. Memang ini krn faktor alam. Walaupun manusia udah berusaha utk mengupayakan segala hal yg baik utk kemaslahatan umat, tp klo pencipta alam semesta sudah berkehendak lain, kelar udah",M.F.M
81,Keren mpokkkkk ... udah tau Jakarta macet .. beli mobil kaya beli kacang ... pas macet nyalahin gubernur... udah tahu Jakarta banjir .. suka buang sampah sembarangan .. klo ga mau banjir ama macet .. pulang kaya saya ke kampung .. bebas macet ama banjir ... ,wahyudi177
82,"Gini loh mas ! kalau pemimpin yang pinter dan berani, Jakarta itu problem besarnyakan banjir dan macet. Nah beliau harusnya fokus untuk menangani ini, kalau penyebabnya sungai dari bogor ya harus koordinasi bahkan kementerian diundang shg ada solusi, DKI harus dipetakan",Nurtono
83,jakarta banjir.. kemana ituh aa koplak..?? https://twitter.com/AminSiregar75/status/1214345532702748673 …,Achmad Falah
84,lha salahe dimana??mang dari dl emang ibukota negara RI ada di jakarta dan dari dulu sudah banjir...pak @aniesbaswedan zekarang menjabat jadi gubernur tp seluruh rakyat INDONESIA kecuali hatter kaya kamu yg blm ngerasain kepemimpinannya krn mngki penyakit hati dah merasuki dirimu,reno
85,"Bilang Ada Laporan Warga, Polisi Usut Banjir Jakarta https://ift.tt/36zMzxM  #BeritaIslam #eramuslimpic.twitter.com/MxQU38QXMg",Didik Suharmanto
86,"Pemprov DKI Digugat karena Banjir, Senator Jakarta: Saya Ketawa Bacanya https://www.kontenislam.com/2020/01/pemprov-dki-digugat-karena-banjir.html …",Joko Hariyanto
87,"Gubernur seblm dia jelas2 ingin mengatasi banjir dan sukses mengurangi banjir Jakarta. Cuma dia ga teruskan usahanya dgn alasan macem2, dan teori aneh2 ttg sunnatullah segala.

Wajar kalo warga menagih tanggung jawab thd kelalaian ini.",Daemoen
88,"Yang banyak resah tu paling yang pake topi santa cloussss
Tuntut ja presiden.dulu dh janji klw jd presiden banjir Jakarta mudah di urus",You Never Walk Alone
89,"Klo saya lebih berminat klo bu Risma jadi gubernur di Jakarta,,
Walaupun seorang perempuan dia mengubah mengurangi daerah2 banjir di Suroboyo, Suroboyo tmpt paling nyaman & sejuk",Markuz_pipapu
90,"Permukaan Air Laut di Jakarta Meninggi, Waspada Terjangan Banjir Rob https://penamini.my.id/permukaan-air-laut-di-jakarta-meninggi-waspada-terjangan-banjir-rob.html …pic.twitter.com/IJsWTvm3kG",IdPena Mini
91,"Bilang Ada Laporan Warga, Polisi Usut Banjir Jakarta http://dlvr.it/RMcnDh ",I'm Lit!
92,Wah keren emang Indonesia baru kali ini banir di Jakarta itu di usut polisi padahal setiap tahun siapapun gubnya banjir bahkan Bru gub ini banjirnya gak parah sampai JKT pusat .,Akhmad
93,"Lbh jakarta kiq terkesan malah membela pemprov dki bkn membela korban banjir. Baru kali ini ada NGO yg bela2in pemerintah walau itu hanya pemerintah provinsi, asa apa dg LBH jakarta ???",Pancasila Sakti
94,"Kurang-kurangin lah... 
Banjir Jakarta Diusut, Polisi: Ada Laporan Keresahan Masyarakat http://detik.id/6c7lOU ",Abrar Wahab
95,"Atasi Masalah Pasca- Banjir, Wali Kota Bekasi Minta Tolong Anies

Wali Kota Bekasi Rahmat Effendi akan meminta tolong ke Gubernur DKI Jakarta Anies Baswedan untuk penanganan sampah pasca- banjir.

Mintolnya ke pak anies 
https://metro.tempo.co/read/1292326/atasi-masalah-pasca-banjir-wali-kota-bekasi-minta-tolong-anies …",Erna Sitompul
96,"Kalau dalam 2 tahun kemarin Pak Anies melanjutkan normalisasi sungai dan pembangunan tanggul, banjir di Jakarta tidak akan seperti ini. Gara-gara Pak Anies rajin beretorika,  rakyat Jakarta yg jadi korban.",yudha
97,"Saya bingung dengan pemikiran Pak Gubernur, itu maksud pak Presiden warga buang sampah sembarangan jadi efeknya menimbulkan banjir yang berdampak ke Bandara juga. Ckckckck. Jawabannya seperti anak ............... (diisi warga Jakarta)",Mario Ivan Nanlohy
98,"Penjarakan yg janji lebih gampang selesaikan banjir dan macet jika jadi presiden.

Banjir Jakarta Berbuntut Panjang, Polisi Periksa Kepala Sudin SDA Jakbar https://metro.sindonews.com/read/1489630/170/banjir-jakarta-berbuntut-panjang-polisi-periksa-kepala-sudin-sda-jakbar-1578381544 …",R.Liandri
99,"Agar banjir tambah parah lagi, potong lagi anggaran untuk pencegahan/penanggulangan banjir agar program naturalisasi berjalan akhirnya semua kota jakarta tenggelam, air meresap ke tanah. @aniesbaswedan puas kamu menyengsarakan rakyat DKI Jakarta",Wiro Narto
100,"Banjir Jakarta Diusut, Polisi: Ada Laporan Keresahan Masyarakat

Netizen: Ujungnya Akan Bisa Menyeret Presiden Jokowi, Karena Jokowi Pernah Mengatakan Banjir Jakarta Mudah Diatasi Kalau Jadi Presiden, Tapi Tak Terbukti Sampai Sekarang.

Cc: @jokowi
https://www.gelora.co/2020/01/banjir-jakarta-diusut-polisi-ada.html?m=1 …",Lambe Waras (Centang Sendiri)
101,"Mas anies di bully itu karena ahokers. Ahok waktu jadi gubernur standard kerja nya terlalu tinggi sih makanya waktu banjir di jakarta barusan, mas anies jadi keliatan extreme bawah..",blank_pagess
102,"PMI Jaksel Suplai 5.000 Liter Air Bersih Bagi Pengungsi Banjir
@PMI_DKI_Jakarta
#BacadiBJ
#BeritaJakarta
#DKIJakarta
#Jakihttp://www.beritajakarta.id/read/75906/pmi-jaksel-suplai-5000-liter-air-bersih-bagi-pengungsi-banjir#.XhTEJHBm7Kk.twitter …",Berita Jakarta
103,"BANJIR JAKARTA DIPOLISIKAN 

https://m.detik.com/news/berita/d-4850354/banjir-jakarta-diusut-polisi-ada-laporan-keresahan-masyarakat …

*KO SEPERTI DENDAM KESUMAT NIH*

AYO DONK USUT TUNTAS JUGA !!! *#JiwasrayaGate*pic.twitter.com/cdMNn7pYui",Fathimah Aza
104,Lu bela 4nies karna pengen masuk surga ? Kan se iman terus keturunan arab peranakan antara manusia dan onta wkwkwk udah lah kalah yah kalah aja banjir era anis paling parah dlm sejarah karena dy merusak karya pemimpin sebelumnya pake bawa2 sunatullah segala ,STUPIDITY SLAYER
105,"Permukaan Air Laut di Jakarta Meninggi, Waspada Terjangan Banjir Rob https://www.suara.com/news/2020/01/08/060605/permukaan-air-laut-di-jakarta-meninggi-waspada-terjangan-banjir-rob?utm_source=twitter.dlvrit&utm_medium=twitter&utm_campaign=suaradotcom …",suaradotcom
106,"Kalau dalam 2 tahun kemarin Pak Anies melanjutkan normalisasi sungai dan pembangunan tanggul, banjir di Jakarta tidak akan seperti ini. Gara-gara Pak Anies rajin beretorika,  rakyat Jakarta yg jadi korban.",yudha
107,"Kalau dalam 2 tahun kemarin Pak Anies melanjutkan normalisasi sungai dan pembangunan tanggul, banjir di Jakarta tidak akan seperti ini. Gara-gara Pak Anies rajin beretorika,  rakyat Jakarta yg jadi korban.",yudha
108,"Ini bisa aja sih ngatasin banjir di Jakarta, tapi bikin lubang nya harus 10.000 meter wkwkwkw",Bayangan Mantan
109,"Normalisasi tidak memastikan Jakarta bebas banjir. Tapi tanpa normalisasi Jakarta pasti selalu banjir. 
https://geotimes.co.id/kolom/menangani-banjir-jakarta-jangka-pendek-dan-panjang/ …",Marieta Retty
110,"Jakarta amaann, yg perlu waspada adl Banten, Jabar. Kalo Jkt masih banjir juga??? Salahin tetangga aja.

BMKG: Waspadai Cuaca Ekstrem Sepekan Ini http://brt.st/6qjQ ",Haris Suradi ✊🇮
111,Gw bukan orang Jakarta tapi orang Jabar. Disini malahan banjirnya lebih parah. Korban banjir juga lebih banyak. Tapi kenapa hanya gubernur DKI yang disalahkan. Gubernur Jabar gimana ? Dasar Togog  loe !!!  #aniesdiserangbuzzeristanapic.twitter.com/ilW0sH9nJm,Anto Nugroho
112,Kamu nuntut2 Anies tuk membereskan banjir jakarta padahal baru kerja 2 tahun....ada yang janji bereskan banjir sudah kerja 5 tahun ko ga kamu tuntut????,Akramnila
113,"#UlahRezimIndonesiaSuram
#UlahRezimIndonesiaSuram 

Dituding Sebar Hoax Banjir Jakarta, Akun TMC Polda Metro Jaya ""Dihajar"" Warganet

https://ift.tt/2vhJYLn 

Kapok dahhh...!!!
Coba klo netizen biasa, dgn alasan langgar UU ITE lgsg di ringkus

Klo polisi scr institusi gmn donk",𝐀𝐢𝐞𝐤 𝐂𝐡𝐚𝐧𝐧𝐞𝐥
114,"Iyo kiri. Langganan
Modele koyok jakarta langganan banjir",A. Hudan Atmari
115,"Tsunami Aceh, gempa Lombok, gempa Palu, banjir Jakarta, apa semua karena kena Azab ???

Serius nanya

http://detik.id/6qieBD ",KANTAYU
116,"Gw mah warga jakarta nyet, gara² banjir gw susah berangkat kantor, gw ga pernah ngebanding²in anies sama risma, bwt apa? Anies dibandinginnya sama sampah, itu yg gw lakuin, makanya begok jangan diborong...",Oposisi
117,"Sok tau lu 
Tp yg bahagia Jakarta isu monas Dan banjir tenggelam",Tuti Gilbert
118,"Pasukan sakit hati bang.. donaturnya para taipan ga bisa bergerak berbuat jahat di DKI jakarta.. doi orang jabar tapi males cuit banjir rancaekek, diemin aja tweets dia cuma untuk konsumsi orang2 dunguk.. bentar lagi juga ketampol muka sendiri kaya yang udah2.. wkwkwkw",Zap
119,Pendukung @jokowi nyata otak kopong semua...mrk lupa atau pura2 lupa bahwa yg ngebacot banjir jakarta akan mudah diatasi kalau jd presiden itu @jokowi .napa mereka malah nyerang anies?,arek_ndeso
120,"@DKIJakarta bahas dunk apa saja hal hal yg sudah dilakukan untuk mencegah banjir di Jakarta, mulai dari banjir jika hujan dengan intensitas tinggi di Jakarta hingga kiriman air dari daerah lain disekeliling Jakarta
Dan sudah brp persen pengerjaannya dari rencana agar jkt tdk bnjr",You can be better !
121,"Semoga apa yang di bilang aagym cepet terwujud , dapet pemimpin yg rendah hati, tak ujub merasa sudah banyak berbuat, biar Jakarta ga banjir terus. pic.twitter.com/Bqvf6q86BC",rizal
122,"Kalau Walikota yg katakan bhw macet dan banjir Jakarta akan mudah diatasi kalau sdh jadi  Guubernur, siapa ya ?",#Pak'De _ Online#
123,"Padahal Pembully Anies Sudah Amat Sangat Senang Dengan Admin Sewaktu Memposting Soal Banjir Jakarta, Yah Gigit Jari Lagi Deh... https://m.cnnindonesia.com/nasional/20200210210328-12-473425/polisi-periksa-admin-tmc-polda-soal-salah-info-banjir-jakut …",Sayap Garuda
124,"Emang gara-gara kamu, namun bukan salah kamu.
Seperti banjir Jakarta gara2 air hujan 3 hari, namun bukan salah air hujan...",Herdiyanto
125,akhirnya aku liat banjir langsung di JAKARTA g diTV.. ketika aku menjadi #wisatawan di #jakarta pic.twitter.com/yVXRFbBPlH,Day
126,aku aja udah ga ngerti dgn apa yg aku omongkan mba. anggap aja banjir jakarta.,גאָרנישט
127,banjir yang terjadi di jakarta 2017,Nonton video bokep Link Full Video Porno Jav Porn
